    0:00.000        0    T0    0    0    0		duration: 4.2
    0:04.200      672    T1    0    0    0		duration: 4.1
    0:08.300     1328    T0    0    0    0		duration: 4.1
    0:12.400     1984    T2    0    0    0		duration: 4.1
    0:16.500     2640    T0    0    0    0		duration: 4.1
    0:20.600     3296    T1    0    0    0		duration: 4.1
    0:24.700     3952    T0    0    0    0		duration: 4.1
    0:28.800     4608    T2    0    0    0		duration: 4.1
    0:32.900     5264    T0    0    0    0		duration: 4.1
    0:37.000     5920    T2    0    0    0		duration: 4.1
    0:41.100     6576    T0    0    0    0		duration: 4.1
    0:45.200     7232    T1    0    0    0		duration: 4.1
    0:49.300     7888    T0    0    0    0		duration: 4.1
    0:53.400     8544    T2    0    0    0		duration: 4.1
    0:57.500     9200    T0    0    0    0		duration: 4.1
    1:01.600     9856    T1    0    0    0		duration: 4.1
    1:05.700    10512    T0    0    0    0		duration: 4.1
    1:09.800    11168    T2    0    0    0		duration: 4.1
    1:13.900    11824    T0    0    0    0		duration: 4.1
    1:18.000    12480    T1    0    0    0		duration: 4.1
    1:22.100    13136    T0    0    0    0		duration: 4.1
    1:26.200    13792    T2    0    0    0		duration: 4.1
    1:30.300    14448    T0    0    0    0		duration: 4.1
    1:34.400    15104    T1    0    0    0		duration: 4.1
    1:38.500    15760    T0    0    0    0		duration: 4.1
    1:42.600    16416    T2    0    0    0		duration: 4.1
    1:46.700    17072    T0    0    0    0		duration: 4.1
    1:50.800    17728    T1    0    0    0		duration: 4.1
    1:54.900    18384    T0    0    0    0		duration: 4.1
    1:59.000    19040    T1    0    0    0		duration: 4
